target,threshold_id,operator,value,unit,project_role,evidence_tier,evidence_status,source_id,decision_status,conditions,notes
sinus_diam,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_LEVEL_EDGE_UNIT_INDEXING_UNVERIFIED,NONE,UNRESOLVED,"CMR-06 must establish edge timing units and indexing.","No standalone threshold is locked."
mv_peak_e,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_RHYTHM_METHOD_UNVERIFIED,NONE,UNRESOLVED,"Unit and acquisition context must be verified.","Diastolic interpretation is multiparametric."
mitral_e_velocity,no_threshold_locked,,,UNRESOLVED,MAPPING_UNRESOLVED,UNRESOLVED,POSSIBLE_DUPLICATE,NONE,UNRESOLVED,"CMR-02 must resolve merge versus distinct field.","No threshold before identity resolution."
av_pk_vel,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_METHOD_UNVERIFIED,NONE,UNRESOLVED,"Unit and measurement identity must be verified.","Aortic-stenosis grading is multiparametric; no binary project endpoint is locked."
la_4ch_length,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_VIEW_UNIT_INDEXING_UNVERIFIED,NONE,UNRESOLVED,"Dedicated view and unit must be verified.","No standalone threshold is locked."
ra_length,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_AXIS_VIEW_UNIT_UNVERIFIED,NONE,UNRESOLVED,"Major/minor axis and view must be verified.","No standalone threshold is locked."
ascending_aorta_diameter,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_LEVEL_EDGE_UNIT_INDEXING_UNVERIFIED,NONE,UNRESOLVED,"CMR-06 must establish level edge timing units and indexing.","No standalone threshold is locked."
lvot_diam,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_LEVEL_PHASE_UNIT_UNVERIFIED,NONE,UNRESOLVED,"Measurement level phase and unit must be verified.","No standalone clinical binary threshold is planned."
rv_diam,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_AXIS_VIEW_UNIT_UNVERIFIED,NONE,UNRESOLVED,"Basal/mid/longitudinal axis and RV-focused view must be verified.","No standalone threshold is locked."
lvot_vti,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_RHYTHM_BEAT_AVERAGING_UNVERIFIED,JOZWIAK_2019_VTI,UNRESOLVED,"Local full text supports relative repeatability context only.","No universal native-unit threshold or margin follows from relative LSC."
mv_peak_a,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_RHYTHM_METHOD_UNVERIFIED,NONE,UNRESOLVED,"Unit and handling of absent/fused A wave must be verified.","No standalone threshold is locked."
tr_mmhg,no_threshold_locked,,,UNRESOLVED,FORMULA_OR_FIELD_IDENTITY_UNRESOLVED,UNRESOLVED,PROJECT_RAW_DEFINITION_UNVERIFIED,ASE_2025_RIGHT_HEART,UNRESOLVED,"CMR-01 must establish gradient versus RVSP/PASP/other.","Formula-only only if peak gradient is confirmed."
tricuspid_regurgitant_peak_velocity,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_METHOD_MEASURABILITY_UNVERIFIED,NONE,UNRESOLVED,"Unit and acquisition context must be verified.","Pulmonary-hypertension assessment is multiparametric; no binary project endpoint is locked."
left_ventricular_end_systolic_diameter,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_METHOD_INDEXING_UNVERIFIED,NONE,UNRESOLVED,"Raw unit method sex/body-size indexing must be verified.","Continuous native-unit reporting remains required."
lat_e_prime,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_METHOD_UNVERIFIED,NONE,UNRESOLVED,"Tissue-Doppler site and units must be verified.","Diastolic interpretation is multiparametric."
sept_e_prime,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_METHOD_UNVERIFIED,NONE,UNRESOLVED,"Tissue-Doppler site and units must be verified.","Diastolic interpretation is multiparametric."
arch_diam,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_ARCH_LEVEL_EDGE_UNIT_UNVERIFIED,NONE,UNRESOLVED,"CMR-05 must establish arch level and convention.","No standalone threshold is locked."
fs,no_threshold_locked,,,UNRESOLVED,FORMULA_ONLY_CONDITIONAL,FORMULA_INFERENCE,PROJECT_RAW_DEFINITION_UNVERIFIED,OE_DEPENDENCY_RESPONSE,UNRESOLVED,"Formula-only if standard FS definition is confirmed.","No scored binary threshold is planned."
ivc_diam,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_PHASE_COLLAPSE_VENTILATION_UNVERIFIED,NONE,UNRESOLVED,"CMR-07 must establish phase/collapse context.","IVC diameter alone is insufficient for RAP interpretation."
height_cm,no_threshold_locked,,,UNRESOLVED,NO_PRIMARY_ECHO_THRESHOLD,UNRESOLVED,PROJECT_SOURCE_UNIT_UNVERIFIED,NONE,UNRESOLVED,"Context-only target outside primary echo macro.","No echo-measurement threshold is planned."
tricuspid_annular_plane_systolic_excursion,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_METHOD_UNVERIFIED,NONE,UNRESOLVED,"Unit and M-mode acquisition must be verified.","No binary project endpoint is locked."
